Stadium;Date;Race;Event;Country;Distance;Occasion;Time;TempIndoors;TempIce;Humidity;TempOutdoors;AirpressureSealevel;AirpressureSurface
Alau_Ice_Palace;25-11-2011;1st_500m_Ladies_Division_B;Essent_ISU_World_Cup;KAZ;500;start;04:06:00;14.2;-7.3;29.0;-19.9;1028.7;982.1
Alau_Ice_Palace;25-11-2011;1st_500m_Ladies_Division_B;Essent_ISU_World_Cup;KAZ;500;end;04:20:00;14.2;-7.3;29.0;-19.9;1028.7;982.1
Alau_Ice_Palace;25-11-2011;1st_500m_Men_Division_B;Essent_ISU_World_Cup;KAZ;500;start;04:24:00;14.5;-7.3;29.0;-19.9;1028.7;982.1
Alau_Ice_Palace;25-11-2011;1st_500m_Men_Division_B;Essent_ISU_World_Cup;KAZ;500;end;04:45:00;14.5;-7.3;29.0;-18.4;1028.6;982.3
Alau_Ice_Palace;25-11-2011;3000m_Ladies_Division_B;Essent_ISU_World_Cup;KAZ;3000;start;05:06:00;14.7;-6.8;28.0;-18.4;1028.6;982.3
Alau_Ice_Palace;25-11-2011;3000m_Ladies_Division_B;Essent_ISU_World_Cup;KAZ;3000;end;05:39:00;14.7;-6.8;28.0;-16.5;1028.2;982.2
Alau_Ice_Palace;25-11-2011;1500m_Men_Division_B;Essent_ISU_World_Cup;KAZ;1500;start;06:02:00;15.1;-6.5;28.0;-16.5;1028.2;982.2
Alau_Ice_Palace;25-11-2011;1500m_Men_Division_B;Essent_ISU_World_Cup;KAZ;1500;end;06:37:00;15.1;-6.5;28.0;-14.1;1027.6;982.1
Alau_Ice_Palace;25-11-2011;1st_500m_Ladies_Division_A;Essent_ISU_World_Cup;KAZ;500;start;08:55:00;15.1;-6.6;29.0;-12.0;1026.1;981.0
Alau_Ice_Palace;25-11-2011;1st_500m_Ladies_Division_A;Essent_ISU_World_Cup;KAZ;500;end;09:12:00;15.1;-6.6;29.0;-12.0;1026.1;981.0
Alau_Ice_Palace;25-11-2011;1st_500m_Men_Division_A;Essent_ISU_World_Cup;KAZ;500;start;09:16:00;15.0;-6.6;29.0;-12.0;1026.1;981.0
Alau_Ice_Palace;25-11-2011;1st_500m_Men_Division_A;Essent_ISU_World_Cup;KAZ;500;end;09:35:00;15.0;-6.6;29.0;-11.8;1024.8;979.8
Alau_Ice_Palace;25-11-2011;3000m_Ladies_Division_A;Essent_ISU_World_Cup;KAZ;3000;start;09:52:00;15.0;-6.6;29.0;-11.8;1024.8;979.8
Alau_Ice_Palace;25-11-2011;3000m_Ladies_Division_A;Essent_ISU_World_Cup;KAZ;3000;end;10:47:00;15.0;-6.6;29.0;-12.5;1024.9;979.8
Alau_Ice_Palace;25-11-2011;1500m_Men_Division_A;Essent_ISU_World_Cup;KAZ;1500;start;11:09:00;15.1;-6.5;31.3;-12.5;1024.9;979.8
Alau_Ice_Palace;25-11-2011;1500m_Men_Division_A;Essent_ISU_World_Cup;KAZ;1500;end;11:39:00;15.1;-6.5;31.3;-13.2;1024.7;979.5
Alau_Ice_Palace;26-11-2011;2nd_500m_Ladies_Division_B;Essent_ISU_World_Cup;KAZ;500;start;04:03:00;14.1;-6.5;31.2;-16.3;1028.8;982.9
Alau_Ice_Palace;26-11-2011;2nd_500m_Ladies_Division_B;Essent_ISU_World_Cup;KAZ;500;end;04:12:00;14.1;-6.5;31.2;-16.3;1028.8;982.9
Alau_Ice_Palace;26-11-2011;2nd_500m_Men_Division_B;Essent_ISU_World_Cup;KAZ;500;start;04:14:00;14.1;-6.5;31.2;-16.3;1028.8;982.9
Alau_Ice_Palace;26-11-2011;2nd_500m_Men_Division_B;Essent_ISU_World_Cup;KAZ;500;end;04:32:00;14.1;-6.5;31.2;-14.7;1029.5;983.8
Alau_Ice_Palace;26-11-2011;1500m_Ladies_Division_B;Essent_ISU_World_Cup;KAZ;1500;start;04:53:00;15.1;-6.7;29.2;-14.7;1029.5;983.8
Alau_Ice_Palace;26-11-2011;1500m_Ladies_Division_B;Essent_ISU_World_Cup;KAZ;1500;end;05:20:00;15.1;-6.7;29.2;-14.7;1029.5;983.8
Alau_Ice_Palace;26-11-2011;5000m_Men_Division_B;Essent_ISU_World_Cup;KAZ;5000;start;05:41:00;15.2;-6.5;29.5;-12.5;1029.6;984.3
Alau_Ice_Palace;26-11-2011;5000m_Men_Division_B;Essent_ISU_World_Cup;KAZ;5000;end;06:30:00;15.2;-6.5;29.5;-12.5;1029.6;984.3
Alau_Ice_Palace;26-11-2011;2nd_500m_Ladies_Division_A;Essent_ISU_World_Cup;KAZ;500;start;08:52:00;15.2;-6.5;29.5;-10.4;1029.3;984.3
Alau_Ice_Palace;26-11-2011;2nd_500m_Ladies_Division_A;Essent_ISU_World_Cup;KAZ;500;end;09:12:00;15.2;-6.5;29.5;-10.4;1029.3;984.3
Alau_Ice_Palace;26-11-2011;2nd_500m_Men_Division_A;Essent_ISU_World_Cup;KAZ;500;start;09:18:00;14.5;-6.8;30.1;-10.4;1029.3;984.3
Alau_Ice_Palace;26-11-2011;2nd_500m_Men_Division_A;Essent_ISU_World_Cup;KAZ;500;end;09:38:00;14.5;-6.8;30.1;-10.3;1029.6;984.6
Alau_Ice_Palace;26-11-2011;1500m_Ladies_Division_A;Essent_ISU_World_Cup;KAZ;1500;start;09:57:00;14.3;-6.8;29.1;-10.3;1029.6;984.6
Alau_Ice_Palace;26-11-2011;1500m_Ladies_Division_A;Essent_ISU_World_Cup;KAZ;1500;end;10:27:00;14.3;-6.8;29.1;-10.3;1029.6;984.6
Alau_Ice_Palace;26-11-2011;5000m_Men_Division_A;Essent_ISU_World_Cup;KAZ;5000;start;10:51:00;14.0;-6.7;30.6;-11.1;1029.6;984.5
Alau_Ice_Palace;26-11-2011;5000m_Men_Division_A;Essent_ISU_World_Cup;KAZ;5000;end;12:05:00;14.0;-6.7;30.6;-12.1;1030.1;984.8
Alau_Ice_Palace;27-11-2011;1000m_Ladies_Division_B;Essent_ISU_World_Cup;KAZ;1000;start;05:51:00;14.6;-6.4;29.8;-14.6;1032.1;986.3
Alau_Ice_Palace;27-11-2011;1000m_Ladies_Division_B;Essent_ISU_World_Cup;KAZ;1000;end;06:15:00;14.6;-6.4;29.8;-14.6;1032.1;986.3
Alau_Ice_Palace;27-11-2011;1000m_Men_Division_B;Essent_ISU_World_Cup;KAZ;1000;start;06:19:00;14.6;-6.4;29.8;-14.6;1032.1;986.3
Alau_Ice_Palace;27-11-2011;1000m_Men_Division_B;Essent_ISU_World_Cup;KAZ;1000;end;06:50:00;14.6;-6.4;29.8;-12.3;1031.7;986.3
