Stadium;Location;Latitude;Longitude;Date;Event;Race;Country;Distance;Occasion;Time;TempIndoors;IceTemperature;Humidity;AirpressureSurface;AirpressureSealevel
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;ITA;500;start;08:30:00;3.0;-10.4;60.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;ITA;500;end;09:03:00;3.0;-10.4;60.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Men;ITA;500;start;09:28:00;3.0;-10.4;60.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Men;ITA;500;end;10:07:00;3.0;-10.4;60.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;1500m_Women;ITA;1500;start;10:32:00;4.0;-10.1;68.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;1500m_Women;ITA;1500;end;11:28:00;4.0;-10.1;68.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;1500m_Men;ITA;1500;start;11:47:00;4.0;-10.1;68.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;1500m_Men;ITA;1500;end;13:09:00;4.0;-10.1;68.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-08;ISU_World_Junior_Speed_Skating_Championships;1000m_Women;ITA;1000;start;09:00:00;1.5;-8.5;69.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-08;ISU_World_Junior_Speed_Skating_Championships;1000m_Women;ITA;1000;end;09:46:00;3.3;-7.2;73.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-08;ISU_World_Junior_Speed_Skating_Championships;1000m_Men;ITA;1000;start;10:10:00;3.3;-7.2;73.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-08;ISU_World_Junior_Speed_Skating_Championships;1000m_Men;ITA;1000;end;10:58:00;5.7;-6.5;69.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-08;ISU_World_Junior_Speed_Skating_Championships;3000m_Women;ITA;3000;start;11:23:00;5.7;-6.5;69.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-08;ISU_World_Junior_Speed_Skating_Championships;3000m_Women;ITA;3000;end;12:25:00;7.5;-6.8;62.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-08;ISU_World_Junior_Speed_Skating_Championships;5000m_Men;ITA;5000;start;12:44:00;7.5;-6.8;62.0;;
Ritten_Arena;Collalbo;46.539044;11.454784;2025-02-08;ISU_World_Junior_Speed_Skating_Championships;5000m_Men;ITA;5000;end;13:55:00;7.5;-6.8;62.0;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-13;ISU_World_Speed_Skating_Championships;3000m_Women;NOR;3000;start;17:00:00;16.6;-9.4;13.1;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-13;ISU_World_Speed_Skating_Championships;3000m_Women;NOR;3000;end;17:57:00;16.6;-8.9;13.7;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-13;ISU_World_Speed_Skating_Championships;5000m_Men;NOR;5000;start;18:11:00;16.7;-7.6;13.7;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-13;ISU_World_Speed_Skating_Championships;5000m_Men;NOR;5000;cleaning;18:51:00;16.5;-8.4;14.1;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-13;ISU_World_Speed_Skating_Championships;5000m_Men;NOR;5000;end;19:43:00;16.5;-8.0;14.3;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-14;ISU_World_Speed_Skating_Championships;500m_Women;NOR;500;start;19:11:00;16.1;-7.6;15.0;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-14;ISU_World_Speed_Skating_Championships;500m_Women;NOR;500;end;19:41:00;16.1;-8.9;15.0;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-14;ISU_World_Speed_Skating_Championships;500m_Men;NOR;500;start;19:55:00;16.1;-8.9;15.0;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-14;ISU_World_Speed_Skating_Championships;500m_Men;NOR;500;end;20:22:00;16.1;-8.5;15.1;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-15;ISU_World_Speed_Skating_Championships;1000m_Women;NOR;1000;start;13:00:00;15.9;-8.3;14.6;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-15;ISU_World_Speed_Skating_Championships;1000m_Women;NOR;1000;end;13:33:00;16.0;-9.2;15.1;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-15;ISU_World_Speed_Skating_Championships;1000m_Men;NOR;1000;start;13:45:00;16.0;-7.7;15.3;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-15;ISU_World_Speed_Skating_Championships;1000m_Men;NOR;1000;end;14:17:00;16.0;-8.6;15.5;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-15;ISU_World_Speed_Skating_Championships;5000m_Women;NOR;5000;start;14:37:00;16.1;-7.9;15.7;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-15;ISU_World_Speed_Skating_Championships;5000m_Women;NOR;5000;end;15:31:00;16.0;-8.8;16.0;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-16;ISU_World_Speed_Skating_Championships;1500m_Men;NOR;1500;start;11:00:00;15.8;-8.3;13.2;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-16;ISU_World_Speed_Skating_Championships;1500m_Men;NOR;1500;end;11:40:00;16.1;-9.1;13.2;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-16;ISU_World_Speed_Skating_Championships;1500m_Women;NOR;1500;start;11:56:00;16.3;-8.0;13.0;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-16;ISU_World_Speed_Skating_Championships;1500m_Women;NOR;1500;end;12:37:00;15.9;-8.8;12.9;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-16;ISU_World_Speed_Skating_Championships;10000m_Men;NOR;10000;start;12:55:00;16.1;-7.9;12.6;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-16;ISU_World_Speed_Skating_Championships;10000m_Men;NOR;10000;cleaning;13:38:00;15.9;-8.7;12.6;;
Hamar_Olympic_Hall;Hamar;60.793162;11.101411;2025-03-16;ISU_World_Speed_Skating_Championships;10000m_Men;NOR;10000;end;14:36:00;15.9;-8.6;12.6;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1st_500m_Women_Division_B;NED;500;start;13:12:00;13.9;-9.5;44.0;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1st_500m_Women_Division_B;NED;500;end;13:30:00;13.9;-9.5;44.0;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1st_500m_Men_Division_B;NED;500;start;13:45:00;14.0;-9.5;44.2;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1st_500m_Men_Division_B;NED;500;end;14:13:00;14.0;-9.5;44.2;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1500m_Women_Division_B;NED;1500;start;14:32:00;14.0;-9.5;44.2;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1500m_Women_Division_B;NED;1500;end;15:04:00;14.0;-9.5;44.2;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1500m_Men_Division_B;NED;1500;start;15:21:00;12.8;-9.5;43.9;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1500m_Men_Division_B;NED;1500;end;16:02:00;12.8;-9.5;43.9;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1st_500m_Women;NED;500;start;18:00:00;12.8;-9.5;43.9;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1st_500m_Women;NED;500;end;18:22:00;12.8;-9.5;43.9;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1st_500m_Men;NED;500;start;18:28:00;12.8;-9.5;43.9;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1st_500m_Men;NED;500;end;18:48:00;13.0;-9.5;44.2;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1500m_Women;NED;1500;start;19:11:00;13.0;-9.5;44.2;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1500m_Women;NED;1500;end;19:45:00;13.3;-9.5;44.5;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1500m_Men;NED;1500;start;19:53:00;13.3;-9.5;44.5;;
Thialf;Heerenveen;52.938399;5.942384;2025-02-28;ISU_World_Cup_Speed_Skating_#6;1500m_Men;NED;1500;end;20:23:00;13.7;-9.5;44.7;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;1000m_Women_Division_B;NED;1000;start;08:10:00;12.8;-9.5;43.9;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;1000m_Women_Division_B;NED;1000;end;08:38:00;12.8;-9.5;43.9;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;1000m_Men_Division_B;NED;1000;start;08:51:00;12.8;-9.5;43.9;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;1000m_Men_Division_B;NED;1000;end;09:26:00;12.9;-9.5;44.0;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;3000m_Women_Division_B;NED;3000;start;09:44:00;12.9;-9.5;44.0;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;3000m_Women_Division_B;NED;3000;end;10:28:00;13.0;-9.5;44.1;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;5000m_Men_Division_B;NED;5000;start;10:41:00;13.0;-9.5;44.1;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;5000m_Men_Division_B;NED;5000;end;11:44:00;13.2;-9.5;44.2;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;1000m_Women;NED;1000;start;13:05:00;13.1;-9.5;43.5;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;1000m_Women;NED;1000;end;13:31:00;13.4;-9.5;44.1;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;1000m_Men;NED;1000;start;13:38:00;13.4;-9.5;44.1;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;1000m_Men;NED;1000;end;14:06:00;13.9;-9.5;45.0;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;3000m_Women;NED;3000;start;14:37:00;14.0;-9.5;45.4;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;3000m_Women;NED;3000;end;15:25:00;14.4;-9.5;45.9;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;5000m_Men;NED;5000;start;15:42:00;14.4;-9.5;45.9;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-01;ISU_World_Cup_Speed_Skating_#6;5000m_Men;NED;5000;end;16:43:00;15.1;-9.5;47.2;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-02;ISU_World_Cup_Speed_Skating_#6;2nd_500m_Women_Division_B;NED;500;start;09:14:00;12.9;-9.5;43.1;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-02;ISU_World_Cup_Speed_Skating_#6;2nd_500m_Women_Division_B;NED;500;end;09:38:00;12.9;-9.5;43.1;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-02;ISU_World_Cup_Speed_Skating_#6;2nd_500m_Men_Division_B;NED;500;start;09:50:00;13.0;-9.5;43.3;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-02;ISU_World_Cup_Speed_Skating_#6;2nd_500m_Men_Division_B;NED;500;end;10:13:00;13.0;-9.5;43.3;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-02;ISU_World_Cup_Speed_Skating_#6;2nd_500m_Women;NED;500;start;13:50:00;12.9;-9.5;43.6;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-02;ISU_World_Cup_Speed_Skating_#6;2nd_500m_Women;NED;500;end;14:13:00;13.2;-9.5;44.1;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-02;ISU_World_Cup_Speed_Skating_#6;2nd_500m_Men;NED;500;start;14:15:00;13.2;-9.5;44.1;;
Thialf;Heerenveen;52.938399;5.942384;2025-03-02;ISU_World_Cup_Speed_Skating_#6;2nd_500m_Men;NED;500;end;14:44:00;13.7;-9.6;44.9;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1st_500m_Women_Division_B;POL;500;start;13:15:00;13.0;-7.0;26.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1st_500m_Women_Division_B;POL;500;end;13:39:00;13.0;-7.0;26.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1st_500m_Men_Division_B;POL;500;start;13:49:00;13.0;-7.0;26.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1st_500m_Men_Division_B;POL;500;end;14:15:00;13.0;-7.0;26.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1500m_Women_Division_B;POL;1500;start;14:28:00;13.4;-7.0;23.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1500m_Women_Division_B;POL;1500;end;15:05:00;13.4;-7.0;23.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1500m_Men_Division_B;POL;1500;start;15:20:00;13.2;-6.3;25.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1500m_Men_Division_B;POL;1500;end;16:08:00;12.7;-6.3;25.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1st_500m_Women;POL;500;start;17:30:00;12.6;-6.0;27.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1st_500m_Women;POL;500;end;17:50:00;12.9;-6.5;27.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1st_500m_Men;POL;500;start;17:58:00;12.9;-6.5;27.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1st_500m_Men;POL;500;end;18:17:00;13.1;-6.5;27.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1500m_Women;POL;1500;start;18:37:00;13.3;-6.0;27.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1500m_Women;POL;1500;end;19:09:00;13.2;-6.0;27.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1500m_Men;POL;1500;start;19:17:00;13.2;-6.0;27.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-21;ISU_World_Cup_Speed_Skating_#5;1500m_Men;POL;1500;end;19:48:00;12.9;-6.5;27.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-22;ISU_World_Cup_Speed_Skating_#5;3000m_Women_Division_B;POL;3000;start;08:35:00;11.9;-6.5;25.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-22;ISU_World_Cup_Speed_Skating_#5;3000m_Women_Division_B;POL;3000;end;09:21:00;12.5;-6.5;25.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-22;ISU_World_Cup_Speed_Skating_#5;5000m_Men_Division_B;POL;5000;start;09:35:00;12.5;-6.5;25.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-22;ISU_World_Cup_Speed_Skating_#5;5000m_Men_Division_B;POL;5000;end;10:39:00;13.0;-6.5;25.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-22;ISU_World_Cup_Speed_Skating_#5;1000m_Women_Division_B;POL;1000;start;10:51:00;13.1;-6.5;25.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-22;ISU_World_Cup_Speed_Skating_#5;1000m_Women_Division_B;POL;1000;end;11:27:00;13.0;-6.5;25.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-22;ISU_World_Cup_Speed_Skating_#5;1000m_Men_Division_B;POL;1000;start;11:40:00;13.0;-6.5;25.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-22;ISU_World_Cup_Speed_Skating_#5;1000m_Men_Division_B;POL;1000;end;12:16:00;13.0;-6.5;25.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-22;ISU_World_Cup_Speed_Skating_#5;3000m_Women;POL;3000;start;13:30:00;12.9;-6.0;25.0;;
Arena_Lodowa;Tomaszów_Mazowiecki;51.519527;20.027900;2025-02-22;ISU_World_Cup_Speed_Skating_#5;3000m_Women;POL;3000;end;14:11:00;12.9;-6.0;25.0;;
