Stadium;Date;Event;Race;Distance;Rank;Nr;Name;Country;Pair;Lane;Time;Behind;Gender
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;1;128;Shizuko_Okuaki;JPN;20;O;39.007;0.000;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;2;135;Huidan_Jung;KOR;21;O;39.307;0.300;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;3;155;Hanna_Mazur;POL;20;I;39.442;0.435;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;4;127;Mikuru_Matsushima;JPN;22;O;39.515;0.508;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;5;153;Wiktoria_Dąbrowska;POL;22;I;39.847;0.840;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;6;102;Jeannine_Rosner;AUT;19;O;39.927;0.920;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;7;138;Jein_Lee;KOR;19;I;40.028;1.021;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;8;107;Julia_Snelgrove;CAN;17;O;40.117;1.110;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;9;108;Skylar_Van_Horne;CAN;21;I;40.284;1.277;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;10;123;Giorgia_Fusetto;ITA;14;I;40.489;1.482;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;11;154;Julia_Grzywińska;POL;16;I;40.775;1.768;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;12;115;Sofie_Adeberg;GER;13;I;40.902;1.895;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;13;114;Ona_Rodriguez_Cornejo;ESP;17;I;41.029;2.022;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;14;145;Jasmijn_Veenhuis;NED;11;O;41.041;2.034;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;15;104;Julia_De_Vos;BRA;10;I;41.146;2.139;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;16;144;Rosalie_Van_Vliet;NED;18;O;41.234;2.227;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;17;152;Zofia_Braun;POL;15;O;41.363;2.356;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;18;125;Emily_Tormen;ITA;3;O;41.368;2.361;Women
Ritten_Arena;2025-02-07;ISU_World_Junior_Speed_Skating_Championships;500m_Women;500;19;131;Anastasija_Belovodova;KAZ;15;I;41.402;2.395;Women
